Week,Desde,Hasta,Hoteles,Hotel id (P),Hotel,Campaigns,Impressions,Clicks,Conversions,Searchs,Bookings,Cancel_bookings,Nights,Conversion,Discount,Inventory,H.Ventas,H.Cancelaciones,PX.Ingresos,PX.Costos,Roi
18,2026-05-03,2026-05-07,1,6841,"La Domanda - Hostería, Restaurante y Casa de Té",6,1441,65,7,20,0,0,0,0,0,20.8,0,0,0,"10.155,46",-100
18,2026-05-03,2026-05-09,1,6887,Hotel Quinto Centenario,21,80035,1137,315,277,19,4,29,0.31,5.85,96.69,3.993.172,165.046,"559.044,08","280.203,11",99.51
18,2026-05-03,2026-05-09,1,6911,América Apart Hotel,14,436,21,15,0,0,0,0,2.72,-1.5,44.76,0,0,0,"11.589,51",-100
18,2026-05-03,2026-05-09,1,7083,Ñu Posta Urbana,14,1995,229,18,7,0,0,0,4.61,0,80.11,0,0,0,"31.768,31",-100
18,2026-05-03,2026-05-09,1,7205,Cabañas Aldea Nevada,14,9697,321,105,176,3,0,18,2.6,32.6,80.18,2.619.235,0,"366.692,90","115.634,44",217.11
18,2026-05-03,2026-05-07,1,7686,Baradero Hotel Boutique,6,766,96,5,32,0,0,0,0,0,0,0,0,0,"11.094,84",-100
18,2026-05-03,2026-05-09,1,7784,Ajax,14,2403,122,53,38,0,0,0,1.78,13.91,60.07,0,0,0,"30.326,27",-100
18,2026-05-03,2026-05-09,1,7889,Reñaca House Hotel,14,1722,252,116,164,2,0,2,1.4,52.63,68.56,264.357,0,"37.009,98","46.572,21",-20.53
18,2026-05-03,2026-05-09,1,7972,Arasari Hotel Iguazú,14,1617,89,23,0,0,0,0,2.41,0,77.69,0,0,0,"17.798,35",-100
18,2026-05-03,2026-05-09,1,8257,AMBAR SUITES,14,1212,78,29,27,0,0,0,0.99,8.73,64.76,0,0,0,"21.681,37",-100
18,2026-05-03,2026-05-09,1,8276,Quorum Córdoba Hotel - Resort Urbano,21,10958,653,176,222,6,2,9,4.81,01.01,84.97,1.203.599,125.879,"168.503,86","126.379,07",33.33
18,2026-05-03,2026-05-09,1,8326,El Rinconcito Acogedor,21,22597,1562,53,41,1,0,2,2.16,0,70.82,81.498,0,"11.409,72","23.108,56",-50.63
18,2026-05-03,2026-05-09,1,8346,Hotel Lois Veracruz,14,2293,185,63,48,0,0,0,1.27,12.17,79.68,0,0,0,"35.915,24",-100
18,2026-05-03,2026-05-09,1,8421,718 Rufino Petit Hotel,14,449,36,15,20,1,0,4,0.15,-5.63,60.79,511.200,0,71.568,"23.210,11",208.35
