Week,Desde,Hasta,Hoteles,Hotel id (P),Hotel,Campaigns,Impressions,Clicks,Conversions,Searchs,Bookings,Cancel_bookings,Nights,Conversion,Discount,Inventory,H.Ventas,H.Cancelaciones,PX.Ingresos,PX.Costos,Roi
20,2026-05-17,2026-05-21,1,21406,Esplendor by Wyndham Mendoza,10,1560,127,55,68,1,0,3,1.61,0,59.54,674.380,0,"94.413,20","55.089,64",71.38
20,2026-05-17,2026-05-21,1,21643,Cabañas La Bella Durmiente,10,1983,482,121,348,1,1,2,0.82,9.96,52.29,341.225,459.342,"47.771,50","23.503,32",103.25
20,2026-05-17,2026-05-21,1,22055,Mediterráneo Suites,10,6648,318,98,124,2,0,8,3.33,44.95,78.91,792.000,0,"110.880,00","90.355,34",22.72
20,2026-05-17,2026-05-21,1,22057,Hotel Termas de Balde,10,2035,236,76,148,2,0,2,1.15,0,61,185.124,0,"25.917,36","38.771,01",-33.15
20,2026-05-17,2026-05-21,1,22112,CRISTAL HOTEL Segunda Generación 3 estrellas,10,7760,460,170,214,0,0,0,0.67,0,79.65,0,0,"0,00","54.460,98",-100
20,2026-05-17,2026-05-21,1,22226,Grand International Hotel,10,1408,158,60,82,0,0,0,1.96,0,40.27,0,0,0,"50.755,70",-100
20,2026-05-17,2026-05-17,1,22412,Naia Hoteles,2,306,25,11,19,0,0,0,4.33,127.88,81.35,0,0,"0,00","6.278,68",-100
20,2026-05-17,2026-05-21,1,22571,Maré Hotel Boutique,10,1150,218,62,149,1,1,1,0,0,54.4,211.236,341.225,"29.573,04","27.697,22",6.77
20,2026-05-17,2026-05-21,1,22744,Howard Johnson Undici República de La Boca,15,44568,2033,438,719,5,4,5,0.51,0,86.51,2.276.175,590.507,"318.664,50","109.884,39",190
20,2026-05-17,2026-05-21,1,23038,Gran Hotel Mercedes,10,1149,105,51,58,2,1,2,1.89,0,58.82,201.653,0,"28.231,42","26.313,90",7.29
20,2026-05-17,2026-05-21,1,23113,Rayentray Puerto Pirámides,10,10042,221,21,25,0,0,0,2.88,0,80.42,0,0,"0,00","28.273,36",-100
20,2026-05-17,2026-05-21,1,23114,Cabañas Hermansen,10,1311,182,26,147,0,0,0,2.68,15.68,36.81,0,0,0,"32.149,37",-100
20,2026-05-17,2026-05-21,1,23164,Hotel Solmar,7,614,66,19,38,1,0,3,1.58,42.66,70.8,209.181,0,"29.285,34","21.773,74",34.5
20,2026-05-17,2026-05-17,1,24204,Temporales Ushuaia,1,1140,19,0,0,0,0,0,0,0,85.65,0,0,"0,00","4.802,07",-100
20,2026-05-17,2026-05-21,1,24465,Rayentray Oceano,10,1389,117,76,77,0,0,0,1.37,03.03,84.08,0,0,0,"74.487,93",-100
20,2026-05-17,2026-05-20,1,24516,Irová Apart Hotel Posadas Misiones,8,2940,143,26,28,0,0,0,0.53,7.34,77.73,0,0,"0,00","19.399,94",-100
20,2026-05-17,2026-05-21,1,25115,Villa Don Tomas Apart Hotel,10,700,98,39,55,0,0,0,5.65,124.99,72.43,0,0,0,"17.084,97",-100
20,2026-05-17,2026-05-21,1,25372,Purobaires Hotel Boutique,8,2531,132,30,0,0,0,0,0.42,2.92,57.14,0,0,"0,00","32.042,39",-100
20,2026-05-17,2026-05-21,1,25717,Hotel Borde Luz,10,1566,202,88,171,0,0,0,1.31,0,80.41,0,0,0,"25.266,03",-100
20,2026-05-17,2026-05-21,1,25799,LAS ARDILLAS - CABAÑAS & SUITES - LA FALDA,5,1482,114,1,56,3,0,13,1.94,0,56.94,1.185.285,0,"165.939,90","22.016,02",653.72
20,2026-05-17,2026-05-21,1,25874,Ritts Hotel Peru,10,3765,210,39,42,0,0,0,0.99,0,88.14,0,0,0,"39.763,85",-100
